Date,Store,Daily Sales,Industry Average,Global Average
2025-01-01,Central,1819,1192.67,1163.67
2025-01-01,Northeast,1148,1192.67,1163.67
2025-01-01,Southwest,611,1192.67,1163.67
2025-01-02,Central,828,1332.0,1362.0
2025-01-02,Northeast,1267,1332.0,1362.0
2025-01-02,Southwest,1901,1332.0,1362.0
2025-01-03,Central,1073,1485.33,1399.33
2025-01-03,Northeast,1743,1485.33,1399.33
2025-01-03,Southwest,1640,1485.33,1399.33
2025-01-04,Central,931,1149.0,1060.0
2025-01-04,Northeast,1566,1149.0,1060.0
2025-01-04,Southwest,950,1149.0,1060.0
2025-01-05,Central,1780,1124.0,996.0
2025-01-05,Northeast,981,1124.0,996.0
2025-01-05,Southwest,611,1124.0,996.0
2025-01-06,Central,941,1326.67,1472.67
2025-01-06,Northeast,1363,1326.67,1472.67
2025-01-06,Southwest,1676,1326.67,1472.67
2025-01-07,Central,559,1122.67,1111.67
2025-01-07,Northeast,1271,1122.67,1111.67
2025-01-07,Southwest,1538,1122.67,1111.67
2025-01-08,Central,761,635.67,739.67
2025-01-08,Northeast,593,635.67,739.67
2025-01-08,Southwest,553,635.67,739.67
2025-01-09,Central,1543,1263.67,1279.67
2025-01-09,Northeast,1394,1263.67,1279.67
2025-01-09,Southwest,854,1263.67,1279.67
2025-01-10,Central,543,1145.67,1100.67
2025-01-10,Northeast,1184,1145.67,1100.67
2025-01-10,Southwest,1710,1145.67,1100.67
2025-01-11,Central,1216,1631.0,1775.0
2025-01-11,Northeast,1678,1631.0,1775.0
2025-01-11,Southwest,1999,1631.0,1775.0
2025-01-12,Central,966,1125.0,1125.0
2025-01-12,Northeast,976,1125.0,1125.0
2025-01-12,Southwest,1433,1125.0,1125.0
2025-01-13,Central,1249,1696.0,1738.0
2025-01-13,Northeast,1857,1696.0,1738.0
2025-01-13,Southwest,1982,1696.0,1738.0
2025-01-14,Central,587,994.33,851.33
2025-01-14,Northeast,1456,994.33,851.33
2025-01-14,Southwest,940,994.33,851.33
2025-01-15,Central,1810,1344.67,1276.67
2025-01-15,Northeast,923,1344.67,1276.67
2025-01-15,Southwest,1301,1344.67,1276.67
2025-01-16,Central,1866,1427.67,1566.67
2025-01-16,Northeast,981,1427.67,1566.67
2025-01-16,Southwest,1436,1427.67,1566.67
2025-01-17,Central,954,1078.33,967.33
2025-01-17,Northeast,1406,1078.33,967.33
2025-01-17,Southwest,875,1078.33,967.33
2025-01-18,Central,930,1142.67,1285.67
2025-01-18,Northeast,754,1142.67,1285.67
2025-01-18,Southwest,1744,1142.67,1285.67
2025-01-19,Central,700,1062.33,1025.33
2025-01-19,Northeast,603,1062.33,1025.33
2025-01-19,Southwest,1884,1062.33,1025.33
2025-01-20,Central,1438,1310.0,1409.0
2025-01-20,Northeast,1540,1310.0,1409.0
2025-01-20,Southwest,952,1310.0,1409.0
2025-01-21,Central,775,1300.67,1416.67
2025-01-21,Northeast,1605,1300.67,1416.67
2025-01-21,Southwest,1522,1300.67,1416.67
2025-01-22,Central,1046,1257.0,1118.0
2025-01-22,Northeast,1274,1257.0,1118.0
2025-01-22,Southwest,1451,1257.0,1118.0
2025-01-23,Central,665,941.0,898.0
2025-01-23,Northeast,1054,941.0,898.0
2025-01-23,Southwest,1104,941.0,898.0
2025-01-24,Central,1189,1271.67,1225.67
2025-01-24,Northeast,1293,1271.67,1225.67
2025-01-24,Southwest,1333,1271.67,1225.67
2025-01-25,Central,643,831.0,978.0
2025-01-25,Northeast,717,831.0,978.0
2025-01-25,Southwest,1133,831.0,978.0
2025-01-26,Central,1080,1328.33,1324.33
2025-01-26,Northeast,1429,1328.33,1324.33
2025-01-26,Southwest,1476,1328.33,1324.33
2025-01-27,Central,1490,988.33,913.33
2025-01-27,Northeast,797,988.33,913.33
2025-01-27,Southwest,678,988.33,913.33
2025-01-28,Central,1992,1111.67,1087.67
2025-01-28,Northeast,575,1111.67,1087.67
2025-01-28,Southwest,768,1111.67,1087.67
2025-01-29,Central,1502,1246.33,1176.33
2025-01-29,Northeast,721,1246.33,1176.33
2025-01-29,Southwest,1516,1246.33,1176.33
2025-01-30,Central,1305,1422.33,1324.33
2025-01-30,Northeast,1601,1422.33,1324.33
2025-01-30,Southwest,1361,1422.33,1324.33
2025-01-31,Central,1539,1064.67,1170.67
2025-01-31,Northeast,969,1064.67,1170.67
2025-01-31,Southwest,686,1064.67,1170.67
2025-02-01,Central,1231,1189.33,1074.33
2025-02-01,Northeast,1564,1189.33,1074.33
2025-02-01,Southwest,773,1189.33,1074.33
2025-02-02,Central,1720,1531.67,1663.67
2025-02-02,Northeast,1877,1531.67,1663.67
2025-02-02,Southwest,998,1531.67,1663.67
2025-02-03,Central,1029,1411.33,1500.33
2025-02-03,Northeast,1220,1411.33,1500.33
2025-02-03,Southwest,1985,1411.33,1500.33
2025-02-04,Central,864,1109.67,990.67
2025-02-04,Northeast,1887,1109.67,990.67
2025-02-04,Southwest,578,1109.67,990.67
2025-02-05,Central,1202,1602.67,1550.67
2025-02-05,Northeast,1863,1602.67,1550.67
2025-02-05,Southwest,1743,1602.67,1550.67
2025-02-06,Central,1084,1068.0,1146.0
2025-02-06,Northeast,891,1068.0,1146.0
2025-02-06,Southwest,1229,1068.0,1146.0
2025-02-07,Central,1340,1540.0,1462.0
2025-02-07,Northeast,1478,1540.0,1462.0
2025-02-07,Southwest,1802,1540.0,1462.0
2025-02-08,Central,1922,1523.0,1402.0
2025-02-08,Northeast,855,1523.0,1402.0
2025-02-08,Southwest,1792,1523.0,1402.0
