Store,Date,DailySales,Industry Average,Global Average,Units Sold,Average Basket Size,Number of Transactions,Foot Traffic,Conversion Rate (%),Gross Margin (%),Net Profit,Inventory Available,Stockout Flag,Customer Satisfaction Score,Promotion Active
Central,01-01-2025,168820.14,183936.39,170312.72,589,4.96,118,365.879266,32.25107596,44,74280.86,664,No,5,No
Central,02-01-2025,141740.99,146199.28,151441.74,262,2.58,101,336.9396631,29.9756933,41.44,58737.47,937,No,1,No
Central,03-01-2025,184586.39,199722.44,208582.73,332,2.26,146,326.6040906,44.70244072,54.11,99879.7,303,No,2,No
Central,04-01-2025,185068.57,173234.71,188530.44,695,1.93,360,882.6578904,40.78590402,45.55,84298.73,608,No,2,No
Central,05-01-2025,115746.25,107575.41,104585.6,214,2.04,104,483.7047924,21.5007173,48.16,55743.39,1698,No,2,Yes
Central,06-01-2025,216858.53,216642.77,196849.96,554,2.27,244,543.6511128,44.88172548,36.21,78524.47,220,No,4,No
Central,07-01-2025,148936.95,163360.1,172052.15,345,3.66,94,499.2081511,18.82982074,40.97,61019.47,1572,No,1,Yes
Central,08-01-2025,146026.32,140474.33,146670.29,519,4.23,122,467.1678764,26.11480929,57.89,84534.64,67,No,2,Yes
Central,09-01-2025,326160.66,346203.44,328542.32,897,2.3,390,892.9934629,43.67333202,34.82,113569.14,191,No,4,Yes
Central,10-01-2025,245051.74,259190.75,248747.88,986,4.72,208,541.5839983,38.40586144,42.4,103901.94,1516,No,5,No
Central,11-01-2025,256500.38,263082.52,255376.88,651,3.31,196,467.1678764,41.95493952,33.21,85183.78,682,No,4,Yes
Central,12-01-2025,163714.18,157574.81,160155.4,982,3.1,316,439.2618307,71.9388706,44.13,72247.07,565,No,1,Yes
Central,13-01-2025,188087.24,206153.63,219464.62,970,4.98,194,634.6041507,30.57023812,46.33,87140.82,822,No,2,Yes
Central,14-01-2025,233427.77,212263.05,208185.58,515,2.45,210,574.6578303,36.54348535,53.9,125817.57,1634,No,5,No
Central,15-01-2025,198480.43,215593.33,196315.76,599,3.11,192,350.3759073,54.79828835,52.06,103328.91,643,No,2,No
Central,16-01-2025,277085.93,264353.44,261677.7,676,2.48,272,572.5907158,47.50338986,51.95,143946.14,755,No,1,Yes
Central,17-01-2025,241182.48,253712.86,241753.27,637,4.94,128,444.4296169,28.80096085,30.63,73874.19,784,No,5,No
Central,18-01-2025,178554.97,163606.45,150917.63,941,2.55,369,545.7182273,67.61731266,51.06,91170.17,1707,No,3,No
Central,19-01-2025,204024.21,184894.06,194315.98,290,3.67,79,576.7249448,13.69803764,45.79,93422.69,1512,No,5,No
Central,20-01-2025,219964.13,205432.8,187269.15,785,3.93,199,533.3155403,37.31374486,56.18,123575.85,657,No,2,No
Central,21-01-2025,281093.1,266584.48,279350.33,620,3.48,178,538.4833266,33.0558053,59.06,166013.58,1278,No,4,No
Central,22-01-2025,177135.47,179206.21,177404.85,458,4.04,113,409.2886705,27.60887563,31.15,55177.7,930,No,5,Yes
Central,23-01-2025,168501.48,175500.73,170842.34,595,4.19,142,537.4497693,26.42107376,49.88,84048.54,1254,No,1,Yes
Central,24-01-2025,101860.82,104173.19,110537.47,778,3.65,213,452.6980749,47.05122725,40.04,40785.07,1741,No,2,No
Central,25-01-2025,229505.46,217468.34,226411.89,682,1.82,374,490.9396931,76.18043626,26.81,61530.41,700,No,5,Yes
Central,26-01-2025,156642.05,165750.53,176604.86,664,3.65,181,482.6712351,37.49964506,45.77,71695.07,1742,No,1,Yes
Central,27-01-2025,218102.65,223384.74,214937.59,226,3,75,269.7584419,27.80265169,27.99,61046.93,639,No,1,Yes
Central,28-01-2025,186600.71,173216.5,183818.08,102,2.96,34,423.758472,8.023438409,21.29,39727.29,1147,No,1,No
Central,29-01-2025,189988.65,174132.79,190131.71,737,2.73,269,551.9195708,48.73898557,58.79,111694.33,606,No,3,No
Central,30-01-2025,145833.55,145864,149352.36,810,2.09,387,729.6914176,53.03611783,33.6,49000.07,1452,No,4,No
Central,31-01-2025,143803.23,132749.09,121626.3,944,2.34,403,597.3960898,67.4594305,49.63,71369.54,47,No,4,Yes
Central,01-02-2025,244087.26,236548.05,239416.64,944,2.29,412,576.7249448,71.43786717,38.13,93070.47,1995,No,5,Yes
Central,02-02-2025,271294.71,271486.46,296506.43,903,2.11,427,749.3290053,56.9843149,54.52,147909.88,589,No,1,No
Central,03-02-2025,206955.78,200959.38,215631.66,409,3.4,120,298.6980449,40.17435067,46.38,95986.09,908,No,1,Yes
Central,04-02-2025,179635.16,178031.83,185548.68,753,3.41,220,518.8457389,42.40181301,50.36,90464.27,550,No,1,Yes
Central,05-02-2025,208463.65,220183.44,214072.6,850,2.91,292,547.7853418,53.30555196,52.67,109797.8,927,No,5,Yes
Central,06-02-2025,154275.72,162356.99,165125.35,626,4.83,129,584.9934028,22.05153073,35.44,54675.32,514,No,5,Yes
